# APR (1-D) cold beta-eq:  nb[fm^-3]  rho[g/cm^3]  P[dyn/cm^2]
7.924059598670080399e-15 1.315394127107964017e+01 3.022471278143338750e+14
2.505807664671719965e-14 4.159641639911369282e+01 1.927218380823977000e+15
7.924059598670079453e-14 1.315394296361598094e+02 1.228852268752522400e+16
2.505807664671720154e-13 4.159642719123359029e+02 7.835530801509859200e+16
7.924059598670080210e-13 1.315394984499548400e+03 4.996169556144926720e+17
2.505807664671719952e-12 4.159647106897391495e+03 3.185707626717446656e+18
7.924059598670080412e-12 1.315397782275937061e+04 2.031302774831468544e+19
2.505807664671719952e-11 4.159664946359157329e+04 1.295219601583348122e+20
7.924059598670079443e-11 1.315409157252059085e+05 8.258708830173914726e+20
2.505807664671719823e-10 4.159737476620118832e+05 5.266000565325992559e+21
6.294102340402880065e-10 1.044863470884503680e+06 2.318000248846496983e+22
1.581048498865440077e-09 2.624725318127635866e+06 9.755001047237952484e+22
3.971468905868240328e-09 6.593422759276088327e+06 3.911000419861366173e+23
4.999380256722129812e-09 8.300088957301760092e+06 5.259000564574514452e+23
9.973660358163070521e-09 1.655945277596233971e+07 1.435000154052943352e+24
1.990381941106679921e-08 3.304923568478573859e+07 3.833000411487757083e+24
3.972096407186489962e-08 6.596131779313476384e+07 1.006000107998091268e+25
7.924185644526630395e-08 1.316080093847228885e+08 2.604000279549731362e+25
1.581014062974550063e-07 2.626264499070829451e+08 6.676000716695085916e+25
1.990332065649240042e-07 3.306413058546697497e+08 8.738000938058967476e+25
3.154996954632020234e-07 5.241968143224269748e+08 1.629000174879612647e+26
4.999340805688509500e-07 8.307744451041343212e+08 3.029000325175167778e+26
6.294585892124059953e-07 1.046115873226798534e+09 4.129000443264531690e+26
7.297274574874419942e-07 1.212836431162999392e+09 5.036000540634580455e+26
9.659711465461129401e-07 1.605693994870832920e+09 6.860000736448216501e+26
1.531070004157449951e-06 2.545637824236928463e+09 1.272000136554246593e+27
2.505626619317229815e-06 4.167201606090307236e+09 2.356000252925947642e+27
3.971413797704639688e-06 6.607077610740722656e+09 4.362000468278005574e+27
4.827274286138380232e-06 8.032127427712361336e+09 5.662000607838164686e+27
6.077362848021670015e-06 1.011405548914059258e+10 7.702000826840256733e+27
7.926254650878219278e-06 1.319404660887738228e+10 1.048000112506957772e+28
9.977036098743710825e-06 1.661128935390529633e+10 1.425000152979403827e+28
1.256090353358289958e-05 2.091808467646994400e+10 1.938000208051989205e+28
1.521435398308599927e-05 2.534213245853654480e+10 2.503000268706980419e+28
1.990419383179329899e-05 3.316385198790668488e+10 3.404000365432905140e+28
2.505588590454810126e-05 4.175887568997399139e+10 4.628000496834160808e+28
3.024372644183889836e-05 5.041715533560087585e+10 5.949000638648752082e+28
3.971489631294249952e-05 6.622996361001472473e+10 8.089000868386241661e+28
5.000572051927819957e-05 8.341844774203338623e+10 1.100000118089364401e+29
6.151156195027369597e-05 1.026445215309031525e+11 1.450000155663252946e+29
6.545403224642419994e-05 1.092338315301944427e+11 1.495000160494181395e+29
8.485433908990789719e-05 1.416676294503403015e+11 2.033000218250616068e+29
