#;P0;
;(s);
402;0.637000;
403;0.195671;
404;0.665994;
405;0.034429;
406;0.485268;
407;1.214090;
408;0.005491;
409;0.974729;
410;8.391116;
411;0.015542;
412;0.711540;
413;0.424311;
414;3.442308;
415;0.251709;
416;0.510176;
417;0.004090;
418;1.796250;
419;1.772000;
420;0.156250;
421;4.862874;
422;0.320370;
423;0.022699;
424;2.773461;
425;6.827693;
426;0.374921;
427;0.002886;
428;1.730000;
429;0.003139;
430;0.606191;
431;0.166762;
432;0.091996;
433;0.214839;
434;2.893668;
435;2.791025;
436;0.407701;
437;1.174929;
438;1.095453;
439;1.174870;
440;0.915216;
441;0.003479;
442;2.093620;
443;1.442349;
444;0.682265;
445;1.092000;
446;1.091870;
447;0.273973;
448;*;
449;0.571257;
450;2.191987;
451;2.063100;
452;11.370386;
453;0.526644;
454;0.866349;
455;0.547202;
456;1.248264;
457;0.482596;
458;0.531383;
459;1.292241;
460;0.645161;
461;0.434242;
462;0.763742;
463;2.161259;
464;1.238130;
465;0.124837;
466;1.073567;
467;0.545446;
468;0.396730;
469;0.112799;
470;0.864873;
471;0.009861;
472;0.530661;
473;0.013500;
474;0.013527;
475;1.848919;
476;0.311674;
477;0.121118;
478;0.384645;
479;0.541404;
480;0.089328;
481;0.738436;
482;1.273768;
483;0.629410;
484;0.751625;
485;0.308581;
486;0.003615;
487;1.703946;
488;0.449339;
489;0.720614;
490;0.644367;
491;1.365860;
492;0.002846;
493;0.208956;
494;1.116099;
495;5.977493;
496;0.452400;
497;1.602228;
498;0.367954;
499;0.473156;
500;1.233033;
501;1.267541;
502;0.064686;
503;0.575072;
504;0.962511;
505;0.242961;
506;0.326793;
507;0.011110;
508;75.885547;
509;0.442058;
510;0.660314;
511;0.965174;
512;0.549554;
513;0.988281;
514;0.346310;
515;0.340854;
516;0.253558;
517;0.401626;
518;0.106771;
519;1.362890;
520;1.579050;
521;1.940636;
522;1.526085;
523;1.310444;
524;0.052905;
525;0.812600;
526;1.216976;
527;1.567994;
528;0.009680;
529;0.430632;
530;0.004417;
531;0.950357;
532;*;
533;0.746344;
534;0.739505;
535;0.005983;
536;0.761889;
537;0.327951;
538;2.060400;
539;1.045757;
540;*;
541;1.807069;
542;0.004638;
543;1.931627;
544;4.392159;
545;3.669910;
546;0.570409;
547;1.444778;
548;0.961553;
549;0.522581;
550;0.087569;
551;0.586778;
552;0.658559;
553;0.664389;
554;0.808171;
555;1.087418;
556;0.532975;
557;1.734000;
558;2.229431;
559;0.570264;
560;0.331586;
561;1.097706;
562;0.851014;
563;0.166095;
564;0.640016;
565;0.212378;
566;0.001414;
567;1.373816;
568;0.253065;
569;0.472866;
570;0.004835;
571;0.002023;
572;0.862123;
573;0.001999;
574;1.723700;
575;0.203557;
576;0.670086;
577;0.440372;
578;0.255677;
579;1.436639;
580;1.661177;
581;0.379533;
582;7.733640;
583;0.777501;
584;0.713489;
585;0.880000;
586;0.307074;
587;3.066365;
588;0.835797;
589;*;
590;0.005256;
591;2.517945;
592;0.003101;
593;2.133591;
594;0.819929;
595;0.442901;
596;1.508800;
597;0.020800;
598;0.139920;
599;0.769586;
600;0.087834;
601;0.107386;
602;0.452785;
603;0.503463;
604;0.002339;
605;0.083153;
606;1.804696;
607;0.162513;
608;0.003943;
609;1.238305;
610;0.140481;
611;0.282879;
612;0.670026;
613;0.016453;
614;1.643726;
615;0.001688;
616;0.111472;
617;0.005162;
618;0.091403;
619;0.027324;
620;0.306411;
621;2.407622;
622;0.078741;
623;0.464213;
624;1.150591;
625;0.791480;
626;0.034471;
627;0.579577;
628;0.002872;
629;0.001680;
630;0.510370;
631;0.533502;
632;0.003408;
633;0.028852;
634;0.661993;
635;0.271553;
636;1.246563;
637;1.386369;
638;1.170868;
639;0.288605;
640;0.139029;
641;0.024048;
642;0.007474;
643;0.326271;
644;0.369428;
645;0.330328;
646;0.198453;
647;0.004665;
648;2.730862;
649;0.123740;
650;1.231305;
651;0.727618;
652;2.202328;
653;6.452077;
654;1.146050;
655;0.180592;
656;0.383830;
657;0.346909;
658;0.228324;
659;1.840004;
660;0.947558;
661;0.099661;
662;0.448635;
663;2.919397;
664;0.676082;
665;0.422451;
666;0.026310;
667;0.628306;
668;0.197116;
669;0.620365;
670;1.347404;
671;0.616271;
672;3.631170;
673;1.185003;
674;0.062800;
675;0.005109;
676;0.004050;
677;0.003393;
678;0.396587;
679;0.280905;
680;6.403055;
681;0.875000;
682;0.351112;
683;0.194938;
684;0.063202;
685;2.717934;
686;0.252773;
687;1.516531;
688;1.799396;
689;0.004278;
690;0.793350;
691;0.558254;
692;0.106689;
693;0.064962;
694;0.334214;
695;0.820488;
696;0.880865;
697;1.656440;
698;1.310894;
699;0.259782;
700;0.867949;
701;0.943165;
702;0.505106;
703;1.155272;
704;0.407963;
705;2.280602;
706;0.497000;
707;0.005557;
708;0.535787;
709;0.007838;
710;0.244839;
711;0.640238;
712;0.271438;
713;0.232979;
714;0.002410;
715;0.185560;
716;0.135477;
717;0.479099;
718;0.004202;
719;0.003102;
720;0.002630;
721;0.358161;
722;0.887550;
723;0.202737;
724;0.579419;
725;0.515984;
726;1.062880;
727;4.796637;
728;0.162323;
729;0.680984;
730;0.256353;
731;1.002000;
732;0.325634;
733;0.175166;
734;1.022876;
735;0.688961;
736;*;
737;0.114943;
738;1.187917;
739;0.364715;
740;1.023619;
741;1.189309;
742;0.002513;
743;0.556216;
744;0.624372;
745;0.117564;
746;0.120482;
747;0.538433;
748;0.291468;
749;0.393899;
750;0.005075;
751;0.558383;
752;0.675646;
753;0.685358;
754;0.987783;
755;0.850665;
756;0.273375;
757;0.003722;
758;3.559937;
759;3.241029;
760;1.496743;
761;0.101633;
762;1.789829;
763;0.376570;
764;2.449000;
765;2.343480;
766;0.011100;
767;0.282012;
768;0.078870;
769;*;
770;0.288417;
771;1.037931;
772;0.043589;
773;0.400526;
774;0.667486;
775;0.525077;
776;0.592136;
777;0.452803;
778;0.100604;
779;0.308861;
780;1.769828;
781;0.004843;
782;0.028714;
783;0.440591;
784;0.424131;
785;0.279768;
786;1.163186;
787;4.237010;
788;0.433084;
789;0.073802;
790;0.909823;
791;0.636414;
792;6.355000;
793;0.374053;
794;0.003539;
795;0.789212;
796;0.001935;
797;1.081164;
798;0.288541;
799;0.585761;
800;0.216480;
801;1.018453;
802;0.626324;
803;0.419619;
804;2.285076;
805;6.193004;
806;0.001686;
807;0.034528;
808;0.444578;
809;0.003684;
810;0.877239;
811;0.206612;
812;0.409834;
813;1.351236;
814;0.247525;
815;1.872994;
816;0.285318;
817;0.088282;
818;0.564759;
819;0.756892;
820;0.569242;
821;0.638234;
822;0.256778;
823;3.597574;
824;0.294760;
825;0.100565;
826;2.110974;
827;1.118591;
