# nb[fm^-3]  rho[g/cm^3]  P[dyn/cm^2]  (cold beta-eq APR)
9.999999999999999799e-13 1.678476214907935855e+03 5.096268485798539559e+21
1.096478199999999959e-12 1.838560738265212649e+03 5.097550395879923384e+21
1.202264400000000085e-12 2.014090687561305231e+03 5.099063558344662843e+21
1.318256699999999992e-12 2.206556506596978579e+03 5.100851024819709280e+21
1.445439800000000034e-12 2.417592384871958075e+03 5.102964311572535575e+21
1.584893199999999954e-12 2.648989871786476215e+03 5.105463395715507028e+21
1.737800799999999984e-12 2.902713823624945235e+03 5.108420277724622356e+21
1.905460699999999840e-12 3.180918671221081695e+03 5.111919426992908272e+21
2.089296100000000165e-12 3.485966522295963841e+03 5.116059269478042567e+21
2.290867700000000199e-12 3.820447752080279315e+03 5.120956332231386726e+21
2.511886400000000055e-12 4.187202089505740332e+03 5.126744840913226301e+21
2.754228700000000126e-12 4.589344193970700871e+03 5.133581825383890682e+21
3.019951700000000043e-12 5.030288554406755793e+03 5.141648148736204866e+21
3.311311199999999838e-12 5.513779542316884545e+03 5.151150180597145534e+21
3.630780499999999889e-12 6.043922620309272133e+03 5.162323583189400945e+21
3.981071700000000294e-12 6.625219698497982790e+03 5.175434225025485373e+21
4.365158300000000181e-12 7.262606639583849756e+03 5.190779864296547418e+21
4.786300900000000027e-12 7.961495909144547113e+03 5.208690995646372512e+21
5.248074599999999699e-12 8.727822039740862238e+03 5.229531283347163054e+21
5.754399400000000256e-12 9.568092068214456958e+03 5.253697242726430409e+21
6.309573399999999684e-12 1.048944061378650258e+04 5.281617685447361692e+21
6.918309699999999657e-12 1.149969110107598317e+04 5.313753585705487958e+21
7.585775799999999206e-12 1.260742111838356504e+04 5.350596544948379582e+21
8.317637699999999973e-12 1.382203559742153448e+04 5.392669362254351696e+21
9.120108399999999481e-12 1.515384727897850462e+04 5.440526526989681558e+21
9.999999999999999395e-12 1.661416317530993911e+04 5.494756250588800877e+21
1.096478199999999959e-11 1.821538132226112066e+04 5.555983900603075002e+21
1.202264400000000044e-11 1.997109483856740189e+04 5.624875435887168586e+21
1.318256700000000033e-11 2.189621028225396367e+04 5.702144806081277198e+21
1.445439799999999994e-11 2.400707145977674008e+04 5.788560087347274711e+21
1.584893199999999954e-11 2.632159555054124576e+04 5.884950903602264670e+21
1.737800799999999943e-11 2.885943245767139524e+04 5.992219402359968629e+21
1.905460699999999840e-11 3.164212747085660158e+04 6.111349588870182207e+21
2.089296099999999842e-11 3.469330220590898534e+04 6.243416901131539841e+21
2.290867700000000037e-11 3.803886042485934013e+04 6.389602628556990448e+21
2.511886399999999975e-11 4.170719883794390626e+04 6.551202699619025814e+21
2.754228700000000126e-11 4.572946271780751704e+04 6.729646541952720568e+21
3.019951700000000205e-11 5.013979489224241843e+04 6.926506440966030754e+21
3.311311200000000242e-11 5.497563612978805031e+04 7.143517368520249704e+21
3.630780500000000132e-11 6.027803724694575794e+04 7.382593734660390388e+21
3.981071700000000294e-11 6.609201257340256416e+04 7.645847729928299086e+21
4.365158300000000181e-11 7.246691514736184035e+04 7.935612660139739316e+21
4.786300900000000189e-11 7.945686320587282535e+04 8.254464846413623722e+21
5.248074600000000023e-11 8.712119504203616816e+04 8.605253266389149417e+21
5.754399400000000095e-11 9.552497352851068717e+04 8.991126139114615734e+21
6.309573400000000007e-11 1.047395372348474630e+05 9.415565821557601206e+21
6.918309699999999819e-11 1.148431128374761465e+05 9.882426861493382283e+21
7.585775799999999529e-11 1.259214691269100731e+05 1.039597723431215510e+22
8.317637699999999973e-11 1.380686489944869536e+05 1.096094596941539705e+22
9.120108399999999804e-11 1.513877744179933507e+05 1.158257752293241153e+22
1.000000000000000036e-10 1.659919112958918267e+05 1.226669096954163416e+22
